URL,Number of Errors
https://www.semrush.com/blog/what-in-the-world-is-api-and-how-do-i-use-it/,0
http://www.siegemedia.com/strategy/increase-website-traffic,9
http://searchengineland.com/link-building-is-a-human-endeavor-245045,9
http://searchengineland.com/link-building-is-a-human-endeavor-245045/amp/,5
